Step,Walltime,Time_phys_s,U_inlet_lat,Rho_min,MLUPS,Cd,Cl
200,00:00:47.16,0.0007371007206252517,0.00073415186,0.9996116,29.697591993880444,0.0744,0.0001
400,00:01:00.17,0.0014742014412505034,0.002864745,0.9991679,52.00579050444615,0.1660,-0.0001
600,00:01:12.90,0.002211302161875755,0.006183221,0.99879664,61.53977649355816,0.2404,-0.0000
800,00:01:25.88,0.002948402882501007,0.010364746,0.99853,60.29836811367728,0.2930,-0.0001
1000,00:01:39.10,0.0036855036031262583,0.015,0.99840426,59.253627869254046,0.3254,-0.0004
1200,00:01:52.55,0.00442260432375151,0.019635256,0.99845266,58.218494780168044,0.3462,-0.0008
1400,00:02:05.31,0.0051597050443767615,0.023816781,0.99865496,61.39023296021645,0.3648,-0.0012
1600,00:02:19.35,0.005896805765002014,0.027135255,0.9988744,55.7802850518411,0.3759,0.0008
1800,00:02:32.45,0.006633906485627265,0.029265847,0.9985453,59.801099772710415,0.3570,0.0086
2000,00:02:45.68,0.0073710072062525165,0.03,0.9983358,59.18198425372219,0.3005,0.0283
2200,00:02:58.75,0.008108107926877769,0.03,0.99832916,59.9154765555394,0.2916,0.0677
2400,00:03:12.01,0.00884520864750302,0.03,0.9983743,59.07038814934851,0.2978,0.1313
2600,00:03:25.22,0.009582309368128272,0.03,0.9984124,59.30298308978958,0.3343,0.2257
2800,00:03:38.37,0.010319410088753523,0.03,0.9984449,59.53741915637667,0.4435,0.3352
3000,00:03:51.37,0.011056510809378776,0.03,0.9984667,60.24270769230769,0.5930,0.3371
3200,00:04:33.84,0.011793611530004027,0.03,0.9984815,18.44063194649853,0.5356,0.2743
3400,00:04:47.04,0.012530712250629279,0.03,0.99849266,59.32544515347367,0.3034,0.0442
3600,00:04:59.68,0.01326781297125453,0.03,0.99850106,61.94377854956947,0.3016,-0.0884
3800,00:05:12.42,0.014004913691879782,0.03,0.9985077,61.49628633303629,0.4091,-0.1783
4000,00:05:25.14,0.014742014412505033,0.03,0.99851346,61.55428727088402,0.4252,-0.2291
4200,00:05:37.90,0.015479115133130286,0.03,0.99851763,61.399859475673146,0.4376,-0.1880
4400,00:05:50.61,0.016216215853755538,0.03,0.99852073,61.5784863431279,0.3915,-0.1169
4600,00:06:03.35,0.01695331657438079,0.03,0.9985227,61.501115281464514,0.3407,-0.0518
4800,00:06:16.06,0.01769041729500604,0.03,0.99852425,61.60755243709853,0.3258,0.0063
5000,00:06:29.11,0.018427518015631292,0.03,0.9985251,60.03029279250365,0.2966,-0.0050
5200,00:06:42.08,0.019164618736256543,0.03,0.99852544,60.368087335718975,0.3320,-0.0364
5400,00:06:55.43,0.019901719456881795,0.03,0.99852544,58.67210047126072,0.3064,-0.0390
5600,00:07:09.02,0.020638820177507046,0.03,0.99852544,57.63155499076196,0.3131,0.0805
5800,00:07:21.79,0.0213759208981323,0.03,0.9985252,61.32773697492042,0.3439,0.1912
6000,00:07:34.61,0.022113021618757552,0.03,0.9985249,61.1601090134418,0.3491,0.1754
6200,00:08:15.54,0.022850122339382804,0.03,0.99852455,19.122801193362008,0.3609,0.0822
6400,00:08:28.31,0.023587223060008055,0.03,0.9985241,61.351759356940356,0.3158,-0.0434
6600,00:08:41.15,0.024324323780633306,0.03,0.9985238,60.96965342589679,0.3346,-0.0134
6800,00:08:54.12,0.025061424501258558,0.03,0.9985233,60.39136365795582,0.3307,0.0314
7000,00:09:07.20,0.02579852522188381,0.03,0.9985223,59.87882867408973,0.3088,0.0738
7200,00:09:19.82,0.02653562594250906,0.03,0.9985226,62.05175475829436,0.2984,0.0616
7400,00:09:32.51,0.027272726663134312,0.03,0.9985222,61.714357483741225,0.3087,0.0065
7600,00:09:45.34,0.028009827383759563,0.03,0.998522,61.06473271642937,0.3271,0.0137
7800,00:09:58.42,0.028746928104384815,0.03,0.9985217,59.855946778441805,0.3504,0.0199
8000,00:10:11.21,0.029484028825010066,0.03,0.99852145,61.23183755557539,0.3415,0.0129
8200,00:10:24.12,0.03022112954563532,0.03,0.9985212,60.6485861939156,0.3431,0.0147
8400,00:10:37.12,0.030958230266260572,0.03,0.998521,60.28908386643868,0.3423,-0.0225
8600,00:10:49.93,0.031695330986885824,0.03,0.99852085,61.093314583853754,0.3129,-0.0229
8800,00:11:02.67,0.032432431707511075,0.03,0.9985207,61.491456991744606,0.2965,-0.0019
9000,00:11:15.57,0.03316953242813633,0.03,0.99852073,60.71911923431443,0.3167,-0.0018
9200,00:11:56.95,0.03390663314876158,0.03,0.9985206,18.92319145488823,0.3077,0.0212
9400,00:12:09.78,0.03464373386938683,0.03,0.9985206,61.04569336915355,0.2990,0.0436
9600,00:12:22.55,0.03538083459001208,0.03,0.9985204,61.35175821104148,0.2835,0.0380
9800,00:12:35.24,0.03611793531063733,0.03,0.99852026,61.72408592661236,0.2982,0.0198
10000,00:12:47.91,0.036855036031262584,0.03,0.9985201,61.79226751363641,0.3149,0.0171
10200,00:13:00.58,0.037592136751887835,0.03,0.99852014,61.831296924061476,0.2976,0.0315
