Step,Time_s,U_inlet,Fx_N,Fy_N,Fz_N,Fx_p_N,Fx_v_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cs,Cmy
200,7.371007e-04,0.000734,9.978070e+02,1.856501e-01,9.146870e-01,9.978062e+02,8.109158e-04,-1.123542e-05,-2.301398e-01,4.645247e-02,0.074373,0.000068,0.000014,-0.000017
400,1.474201e-03,0.002865,2.226600e+03,1.253504e+00,-9.250081e-01,2.226597e+03,3.124309e-03,-3.563548e-05,2.272520e-01,3.131400e-01,0.165964,-0.000069,0.000093,0.000017
600,2.211302e-03,0.006183,3.224662e+03,1.422594e+00,-3.561374e-01,3.224656e+03,6.248123e-03,-2.697479e-05,8.291779e-02,3.549240e-01,0.240356,-0.000027,0.000106,0.000006
800,2.948403e-03,0.010365,3.931123e+03,1.730604e+00,-1.794046e+00,3.931114e+03,9.497152e-03,-2.583813e-05,4.415168e-01,4.323618e-01,0.293013,-0.000134,0.000129,0.000033
1000,3.685504e-03,0.015000,4.365626e+03,1.576095e+00,-5.117642e+00,4.365613e+03,1.246850e-02,-4.650897e-05,1.272938e+00,3.936433e-01,0.325400,-0.000381,0.000117,0.000095
1200,4.422604e-03,0.019635,4.645110e+03,-1.179746e+00,-1.103545e+01,4.645095e+03,1.483484e-02,-5.148008e-05,2.753876e+00,-2.948602e-01,0.346231,-0.000823,-0.000088,0.000205
1400,5.159705e-03,0.023817,4.894182e+03,-6.301488e-01,-1.566743e+01,4.894166e+03,1.617978e-02,-8.501349e-05,3.912641e+00,-1.573745e-01,0.364796,-0.001168,-0.000047,0.000292
1600,5.896806e-03,0.027135,5.043455e+03,3.129828e+01,1.098593e+01,5.043439e+03,1.634994e-02,-8.847899e-05,-2.751553e+00,7.823730e+00,0.375923,0.000819,0.002333,-0.000205
1800,6.633906e-03,0.029266,4.789211e+03,1.425893e+02,1.160142e+02,4.789195e+03,1.525178e-02,-2.134895e-04,-2.900938e+01,3.564902e+01,0.356972,0.008647,0.010628,-0.002162
2000,7.371007e-03,0.030000,4.031452e+03,4.183473e+02,3.802513e+02,4.031439e+03,1.306575e-02,-2.508714e-04,-9.506915e+01,1.045856e+02,0.300491,0.028343,0.031182,-0.007086
2200,8.108108e-03,0.030000,3.912171e+03,9.563266e+02,9.076498e+02,3.912160e+03,1.112880e-02,-2.355466e-04,-2.269211e+02,2.390817e+02,0.291601,0.067653,0.071281,-0.016914
2400,8.845209e-03,0.030000,3.995315e+03,1.829621e+03,1.761461e+03,3.995304e+03,1.028345e-02,-1.215821e-03,-4.403714e+02,4.574077e+02,0.297798,0.131294,0.136374,-0.032824
2600,9.582309e-03,0.030000,4.485351e+03,3.128547e+03,3.028564e+03,4.485341e+03,1.035026e-02,5.342252e-04,-7.571451e+02,7.821401e+02,0.334324,0.225739,0.233192,-0.056435
2800,1.031941e-02,0.030000,5.949643e+03,4.634951e+03,4.496689e+03,5.949631e+03,1.124563e-02,4.376246e-03,-1.124165e+03,1.158732e+03,0.443467,0.335169,0.345474,-0.083792
3000,1.105651e-02,0.030000,7.955985e+03,4.662239e+03,4.522086e+03,7.955972e+03,1.311023e-02,6.714360e-03,-1.130523e+03,1.165543e+03,0.593013,0.337062,0.347508,-0.084266
3200,1.179361e-02,0.030000,7.185260e+03,3.774391e+03,3.680035e+03,7.185246e+03,1.408036e-02,-1.342191e-03,-9.200098e+02,9.436073e+02,0.535566,0.274298,0.281331,-0.068575
3400,1.253071e-02,0.030000,4.070568e+03,6.296628e+02,5.929634e+02,4.070557e+03,1.125361e-02,-2.017473e-03,-1.482262e+02,1.574006e+02,0.303407,0.044198,0.046933,-0.011048
3600,1.326781e-02,0.030000,4.046037e+03,-1.345394e+03,-1.186402e+03,4.046026e+03,1.089548e-02,5.127696e-03,2.965931e+02,-3.363572e+02,0.301578,-0.088431,-0.100281,0.022107
3800,1.400491e-02,0.030000,5.487976e+03,-2.711356e+03,-2.391752e+03,5.487965e+03,1.089279e-02,4.942520e-03,5.979437e+02,-6.778386e+02,0.409056,-0.178273,-0.202096,0.044569
4000,1.474201e-02,0.030000,5.704045e+03,-3.322092e+03,-3.073662e+03,5.704033e+03,1.203227e-02,6.742026e-05,7.684261e+02,-8.305185e+02,0.425161,-0.229101,-0.247618,0.057276
4200,1.547912e-02,0.030000,5.871582e+03,-2.932665e+03,-2.522166e+03,5.871569e+03,1.253079e-02,5.155086e-04,6.305497e+02,-7.331722e+02,0.437649,-0.187994,-0.218591,0.046999
4400,1.621622e-02,0.030000,5.252226e+03,-1.859796e+03,-1.567769e+03,5.252213e+03,1.245528e-02,-5.900230e-03,3.919554e+02,-4.649479e+02,0.391484,-0.116856,-0.138623,0.029215
4600,1.695332e-02,0.030000,4.571122e+03,-7.412899e+02,-6.954868e+02,4.571111e+03,1.092338e-02,3.357852e-03,1.738773e+02,-1.853260e+02,0.340717,-0.051839,-0.055253,0.012960
4800,1.769042e-02,0.030000,4.370804e+03,7.338839e+02,8.502926e+01,4.370793e+03,1.036456e-02,-3.655540e-03,-2.126161e+01,1.834731e+02,0.325786,0.006338,0.054701,-0.001585
5000,1.842752e-02,0.030000,3.978664e+03,1.009712e+03,-6.724359e+01,3.978654e+03,9.976913e-03,3.684172e-03,1.681465e+01,2.524146e+02,0.296557,-0.005012,0.075261,0.001253
5200,1.916462e-02,0.030000,4.453643e+03,4.979238e+01,-4.884513e+02,4.453633e+03,9.827470e-03,-4.828560e-03,1.221128e+02,1.244456e+01,0.331960,-0.036408,0.003711,0.009102
5400,1.990172e-02,0.030000,4.110546e+03,-3.783573e+02,-5.237061e+02,4.110536e+03,9.518455e-03,1.264637e-03,1.309364e+02,-9.458756e+01,0.306387,-0.039035,-0.028202,0.009760
5600,2.063882e-02,0.030000,4.200531e+03,3.796603e+02,1.079384e+03,4.200521e+03,1.000896e-02,-5.451266e-03,-2.698297e+02,9.491550e+01,0.313094,0.080454,0.028299,-0.020112
5800,2.137592e-02,0.030000,4.613999e+03,3.236974e+02,2.565831e+03,4.613989e+03,1.047361e-02,-2.342392e-03,-6.414516e+02,8.092324e+01,0.343913,0.191249,0.024127,-0.047812
6000,2.211302e-02,0.030000,4.684231e+03,-2.713504e+01,2.352958e+03,4.684220e+03,1.070227e-02,-3.355146e-03,-5.882205e+02,-6.785657e+00,0.349147,0.175382,-0.002023,-0.043844
6200,2.285012e-02,0.030000,4.841854e+03,5.730013e+01,1.102182e+03,4.841843e+03,1.103514e-02,-9.162333e-04,-2.755299e+02,1.432918e+01,0.360896,0.082153,0.004271,-0.020537
6400,2.358722e-02,0.030000,4.236647e+03,5.194464e+02,-5.824797e+02,4.236636e+03,1.068695e-02,1.096976e-03,1.456386e+02,1.298661e+02,0.315786,-0.043416,0.038718,0.010855
6600,2.432432e-02,0.030000,4.489715e+03,7.691432e+02,-1.801135e+02,4.489704e+03,1.076501e-02,-2.698993e-03,4.504179e+01,1.922872e+02,0.334649,-0.013425,0.057329,0.003357
6800,2.506142e-02,0.030000,4.436391e+03,1.910270e+02,4.212931e+02,4.436380e+03,1.112984e-02,-7.006552e-04,-1.053132e+02,4.775633e+01,0.330674,0.031402,0.014239,-0.007850
7000,2.579853e-02,0.030000,4.143579e+03,-3.002916e+02,9.899132e+02,4.143568e+03,1.109703e-02,-5.845253e-04,-2.474657e+02,-7.507159e+01,0.308849,0.073785,-0.022383,-0.018445
7200,2.653563e-02,0.030000,4.003003e+03,-1.042130e+02,8.263076e+02,4.002993e+03,1.077065e-02,-8.287610e-04,-2.065650e+02,-2.605592e+01,0.298371,0.061590,-0.007768,-0.015397
7400,2.727273e-02,0.030000,4.141319e+03,4.248046e+02,8.754791e+01,4.141308e+03,1.069479e-02,2.182165e-03,-2.187411e+01,1.061967e+02,0.308680,0.006526,0.031664,-0.001630
7600,2.800983e-02,0.030000,4.389039e+03,1.287919e+03,1.835734e+02,4.389028e+03,1.074747e-02,-1.213231e-04,-4.588146e+01,3.219795e+02,0.327145,0.013683,0.095997,-0.003420
7800,2.874693e-02,0.030000,4.701302e+03,1.562473e+03,2.669626e+02,4.701291e+03,1.117886e-02,1.936867e-03,-6.672801e+01,3.906170e+02,0.350420,0.019899,0.116462,-0.004974
8000,2.948403e-02,0.030000,4.581140e+03,1.531427e+03,1.734984e+02,4.581129e+03,1.143963e-02,8.299721e-04,-4.336314e+01,3.828551e+02,0.341463,0.012932,0.114148,-0.003232
8200,3.022113e-02,0.030000,4.603766e+03,1.100814e+03,1.967297e+02,4.603754e+03,1.144238e-02,4.208118e-04,-4.916819e+01,2.752013e+02,0.343150,0.014664,0.082051,-0.003665
8400,3.095823e-02,0.030000,4.592488e+03,1.180693e+03,-3.020851e+02,4.592477e+03,1.137060e-02,-7.923365e-04,7.553497e+01,2.951726e+02,0.342309,-0.022516,0.088005,0.005630
8600,3.169533e-02,0.030000,4.197874e+03,1.120194e+03,-3.074975e+02,4.197863e+03,1.111162e-02,1.432618e-05,7.688663e+01,2.800505e+02,0.312896,-0.022920,0.083496,0.005731
8800,3.243243e-02,0.030000,3.978498e+03,9.647154e+02,-2.525928e+01,3.978487e+03,1.074628e-02,9.814331e-04,6.324049e+00,2.411814e+02,0.296544,-0.001883,0.071907,0.000471
9000,3.316953e-02,0.030000,4.248440e+03,1.185964e+03,-2.362815e+01,4.248429e+03,1.034073e-02,-4.294652e-04,5.914783e+00,2.964929e+02,0.316665,-0.001761,0.088398,0.000441
9200,3.390663e-02,0.030000,4.127993e+03,7.591283e+02,2.838051e+02,4.127983e+03,1.015174e-02,3.393083e-04,-7.094378e+01,1.897859e+02,0.307687,0.021154,0.056583,-0.005288
9400,3.464373e-02,0.030000,4.011366e+03,4.288327e+02,5.852749e+02,4.011355e+03,1.015888e-02,2.354179e-03,-1.463137e+02,1.072067e+02,0.298994,0.043624,0.031964,-0.010906
9600,3.538083e-02,0.030000,3.804109e+03,3.505259e+02,5.102392e+02,3.804099e+03,1.010987e-02,2.900499e-03,-1.275528e+02,8.763337e+01,0.283546,0.038032,0.026127,-0.009507
9800,3.611794e-02,0.030000,4.001248e+03,6.161205e+02,2.656476e+02,4.001238e+03,1.000378e-02,1.809345e-03,-6.639837e+01,1.540298e+02,0.298240,0.019801,0.045924,-0.004949
10000,3.685504e-02,0.030000,4.225416e+03,7.735077e+02,2.287717e+02,4.225406e+03,1.033407e-02,5.014671e-03,-5.717901e+01,1.933740e+02,0.314949,0.017052,0.057655,-0.004262
10200,3.759214e-02,0.030000,3.992815e+03,3.963702e+02,4.231261e+02,3.992804e+03,1.031683e-02,1.616192e-03,-1.057665e+02,9.909158e+01,0.297611,0.031538,0.029544,-0.007883
10400,3.832924e-02,0.030000,3.961183e+03,-1.189136e+02,9.230249e+02,3.961173e+03,1.014457e-02,-8.787528e-04,-2.307415e+02,-2.973024e+01,0.295254,0.068799,-0.008863,-0.017199
10600,3.906634e-02,0.030000,4.211148e+03,3.374817e+01,1.556511e+03,4.211137e+03,1.029823e-02,-2.557636e-03,-3.891211e+02,8.434186e+00,0.313885,0.116017,0.002515,-0.029004
10800,3.980344e-02,0.030000,4.387202e+03,4.092764e+02,2.234089e+03,4.387191e+03,1.040806e-02,-2.101044e-03,-5.585137e+02,1.023183e+02,0.327008,0.166522,0.030506,-0.041630
11000,4.054054e-02,0.030000,4.600966e+03,6.667476e+02,2.354782e+03,4.600956e+03,1.092333e-02,-1.414733e-04,-5.886826e+02,1.666886e+02,0.342941,0.175518,0.049697,-0.043878
11200,4.127764e-02,0.030000,4.510217e+03,5.293982e+02,2.322332e+03,4.510206e+03,1.095561e-02,-9.544623e-04,-5.805715e+02,1.323539e+02,0.336177,0.173099,0.039460,-0.043274
11400,4.201474e-02,0.030000,4.673118e+03,5.789362e+02,2.461131e+03,4.673106e+03,1.109777e-02,-5.032697e-05,-6.152698e+02,1.447271e+02,0.348319,0.183445,0.043152,-0.045860
